K	method	accurancy
32	NO AUG	0.5993
32	EDA	0.5991
32	BT	0.6037
32	CBERT	0.6198
32	LAMBDA	0.6237
32	BART_cc_content	0.6557
32	T5_cc_content	0.6656
64	NO AUG	0.6913
64	EDA	0.6897
64	BT	0.6794
64	CBERT	0.6949
64	LAMBDA	0.6956
64	BART_cc_content	0.7245
64	T5_cc_content	0.7350
128	NO AUG	0.7536
128	EDA	0.7608
128	BT	0.7593
128	CBERT	0.7562
128	LAMBDA	0.7418
128	BART_cc_content	0.7700
128	T5_cc_content	0.7788
256	NO AUG	0.7947
256	EDA	0.7960
256	BT	0.7995
256	CBERT	0.7997
256	LAMBDA	0.7802
256	BART_cc_content	0.7990
256	T5_cc_content	0.8087
