K	method	accurancy
32	NO AUG	0.4757
32	EDA	0.4880
32	BT	0.4968
32	CBERT	0.5005
32	LAMBDA	0.4998
32	BART_cc_content	0.5350
32	T5_cc_content	0.5391
64	NO AUG	0.5511
64	EDA	0.5611
64	BT	0.5664
64	CBERT	0.5739
64	LAMBDA	0.5711
64	BART_cc_content	0.6192
64	T5_cc_content	0.6087
128	NO AUG	0.6299
128	EDA	0.6274
128	BT	0.6418
128	CBERT	0.6476
128	LAMBDA	0.6427
128	BART_cc_content	0.6910
128	T5_cc_content	0.6842
256	NO AUG	0.7080
256	EDA	0.7167
256	BT	0.7263
256	CBERT	0.7249
256	LAMBDA	0.7158
256	BART_cc_content	0.7443
256	T5_cc_content	0.7387
