dsn	label	codes
yahoo	1	Society and Culture,Christianity,Feminism,Atheism
yahoo	2	Science and Mathematics,Science
yahoo	3	Health,Fitness,Pregnancy
yahoo	4	Education and Reference
yahoo	5	Computers and Internet,Technologies
yahoo	6	Sports
yahoo	7	Business and Finance,Finance
yahoo	8	Entertainment and Music,Gaming,Movies,Funny,Joke,Music
yahoo	9	Family and Relationships,Relationship,Relationships
yahoo	10	Politics and Government,News Politics
pop	palestine	palestine,Politics palestine,News palestine
pop	obama	president obama,Event obama,Politics president obama,obama Government,obama administration
pop	microsoft	microsoft,Technologies microsoft,Computing microsoft,News microsoft,Event microsoft
pop	economy	economy,Finance economy,Business economy,Saving economy
ag	2	Sports
ag	3	Business & Finance,Finance
ag	4	Science & Mathematics,Science,Technologies,Computing
